comment_id,employee_id,comments
C046,MY046,N9 branch okay, cuma parking customer sempit sangat. Selalu bergaduh berebut petak.
C047,MY047,Material baju uniform baru ni panas lit lit. Ketiak basah bro.
C048,MY048,Lampu toilet rosak seminggu tak ganti. Gelap gelita.
C049,MY049,Safety vest wajib pakai tu bagus. Rasa selamat sikit atas jalan.
C050,MY050,Conveyor belt selalu jam. Kena tolak manual, sakit belakang.
C051,MY051,Perlis relax je. Volume tak banyak sangat.
C052,MY052,Kerja data entry boring tapi aircond sejuk. Layan je lah.
C053,MY053,Legal department tak cukup lawyer. Contract review queue panjang.
C054,MY054,Lori 3 tan baru tu sedap bawak. Pickup power.
C055,MY055,Tempat rehat rider kat Johor takde kipas. Panas macam sauna.
C056,MY056,Taman baru tu anjing garang-garang. Dah la takde pagar. Seriau nak hantar surat.
C057,MY057,Parcel perabot berat-berat ni patut ada surcharge lebih. Sakit urat angkat almari.
C058,MY058,Kaunter staff uniform smart. Nampak professional depan customer.
C059,MY059,System EzPay selalu offline time hujan. Customer bising kena tunggu lama.
C060,MY060,Line internet kat branch Sabah selalu putus. Susah nak update tracking.
C061,MY061,Tools technician cukup. Senang nak repair equipment.
C062,MY062,Penang PPL management supportive. Kalau sakit senang dapat cuti.
C063,MY063,Guard shift malam sunyi sangat. Bagilah radio satu.
C064,MY064,Palang gate guard house manual lagi. Tukar la auto, hujan basah nak bukak.
C065,MY065,Team Kedah muafakat membawa berkat. Kerja laju.
C066,MY066,Supervisor selalu belanja makan. Sayang bos!
C067,MY067,Posmen ni hero tak didendang. Panas hujan redah je demi amanah.
C068,MY068,Bunyi mesin sorting bising sangat. Sakit telinga, bagi la earplug quality sikit.
C069,MY069,Training compliance tu bosan, tapi makan sedap.
C070,MY070,Admin HQ efficient. Email cepat reply.
C071,MY071,Duit minyak motor tak cukup cover lah. Petrol naik, claim maintain je.
C072,MY072,Ventilation warehouse teruk. Rasa lemas bila barang penuh.
C073,MY073,Habuk kotak ni buat gatal kulit. Provide gloves please.
C074,MY074,Payroll sharp masuk 25hb. Boleh bayar komitmen on time.
C075,MY075,Lampu jalan kawasan industri Pahang tu gelap. Rider balik malam bahaya.
C076,MY076,Target delivery Sarawak tak logik. Rumah sebiji-sebiji jauh kot.
C077,MY077,Scanner tak cukup kat Sabah. Kena gilir-gilir, melambatkan kerja.
C078,MY078,Admin assistant kerja macam robot. Sorang buat kerja 3 orang.
C079,MY079,Handover shift smooth. Takde barang hilang.
C080,MY080,Pantry bersih. Makcik cleaner memang rajin.
C081,MY081,Training 'handling difficult customer' tu berguna. Tadi kena maki, aku senyum je.
C082,MY082,Headset customer service asyik rosak sebelah. Susah nak dengar customer cakap apa.
C083,MY083,Jadual servis lori teratur. Jarang breakdown tepi jalan.
C084,MY084,KL jam teruk. Stress menghadap traffic hari-hari.
C085,MY085,Persiapan banjir Johor mantap. Barang dah letak tempat tinggi.
C086,MY086,Cat dinding luar pejabat Kedah dah lumut. Nampak buruk la Pos Malaysia.
C087,MY087,Business analyst kerja challenging, tapi puas hati bila solve problem.
C088,MY088,Melaka town susah parking lori. Jalan sempit, pelancong ramai.
C089,MY089,Tempat tidur driver lori tilam keras kejung. Sakit badan bangun tidur.
C090,MY090,Store barang dah kemas sikit. Senang cari supplies.
C091,MY091,Approval purchasing lambat gila. Nak beli kertas A4 pun tunggu sebulan.
C092,MY092,Geng posmen sini support each other. Kalau motor rosak, ramai datang tolong.
C093,MY093,Perlis branch kecik tapi padu. Service tiptop.
C094,MY094,Interview process laju. Tak payah tunggu lama-lama.
C095,MY095,Parking KL mahal weh. Kena saman DBKL company tak nak bayar pulak.
C096,MY096,Office Putrajaya moden. Selesa nak buat kerja.
C097,MY097,Kotak Shopee tajam-tajam. Tangan luka, bagi la glove tebal sikit.
C098,MY098,Campaign marketing menjadi. Ramai orang hantar parcel bulan ni.
C099,MY099,Musim hujan ni, rider Pahang need kasut boot getah. Kasut basah busuk weh.
C100,MY100,Safety briefing setiap pagi bagus. Ingatkan kita pasal keluarga kat rumah.
